image_path,plate,condition
images/MH12AB1234_clean.jpg,MH12AB1234,clean
images/MH12AB1234_blur.jpg,MH12AB1234,blur
images/MH12AB1234_angle.jpg,MH12AB1234,angle
images/MH12AB1234_lowlight.jpg,MH12AB1234,lowlight
images/MH12AB1234_small.jpg,MH12AB1234,small
images/MH12AB1234_occluded.jpg,MH12AB1234,occluded
images/KA05MN6789_clean.jpg,KA05MN6789,clean
images/KA05MN6789_blur.jpg,KA05MN6789,blur
images/KA05MN6789_angle.jpg,KA05MN6789,angle
images/KA05MN6789_lowlight.jpg,KA05MN6789,lowlight
images/KA05MN6789_small.jpg,KA05MN6789,small
images/KA05MN6789_occluded.jpg,KA05MN6789,occluded
images/DL8CAF5031_clean.jpg,DL8CAF5031,clean
images/DL8CAF5031_blur.jpg,DL8CAF5031,blur
images/DL8CAF5031_angle.jpg,DL8CAF5031,angle
images/DL8CAF5031_lowlight.jpg,DL8CAF5031,lowlight
images/DL8CAF5031_small.jpg,DL8CAF5031,small
images/DL8CAF5031_occluded.jpg,DL8CAF5031,occluded
images/TN22BC4567_clean.jpg,TN22BC4567,clean
images/TN22BC4567_blur.jpg,TN22BC4567,blur
images/TN22BC4567_angle.jpg,TN22BC4567,angle
images/TN22BC4567_lowlight.jpg,TN22BC4567,lowlight
images/TN22BC4567_small.jpg,TN22BC4567,small
images/TN22BC4567_occluded.jpg,TN22BC4567,occluded
images/GJ01AA0001_clean.jpg,GJ01AA0001,clean
images/GJ01AA0001_blur.jpg,GJ01AA0001,blur
images/GJ01AA0001_angle.jpg,GJ01AA0001,angle
images/GJ01AA0001_lowlight.jpg,GJ01AA0001,lowlight
images/GJ01AA0001_small.jpg,GJ01AA0001,small
images/GJ01AA0001_occluded.jpg,GJ01AA0001,occluded
images/UP32DK4321_clean.jpg,UP32DK4321,clean
images/UP32DK4321_blur.jpg,UP32DK4321,blur
images/UP32DK4321_angle.jpg,UP32DK4321,angle
images/UP32DK4321_lowlight.jpg,UP32DK4321,lowlight
images/UP32DK4321_small.jpg,UP32DK4321,small
images/UP32DK4321_occluded.jpg,UP32DK4321,occluded
images/RJ14CV0002_clean.jpg,RJ14CV0002,clean
images/RJ14CV0002_blur.jpg,RJ14CV0002,blur
images/RJ14CV0002_angle.jpg,RJ14CV0002,angle
images/RJ14CV0002_lowlight.jpg,RJ14CV0002,lowlight
images/RJ14CV0002_small.jpg,RJ14CV0002,small
images/RJ14CV0002_occluded.jpg,RJ14CV0002,occluded
images/KL07CD8080_clean.jpg,KL07CD8080,clean
images/KL07CD8080_blur.jpg,KL07CD8080,blur
images/KL07CD8080_angle.jpg,KL07CD8080,angle
images/KL07CD8080_lowlight.jpg,KL07CD8080,lowlight
images/KL07CD8080_small.jpg,KL07CD8080,small
images/KL07CD8080_occluded.jpg,KL07CD8080,occluded
